Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Week 1,ff,uality Day,ff,Reg/Easy Run,ff,Flex Day,Long Run/Quiz
Week 2,ff,Tempo,Cross-Train,3 Miles,ff,Flex Day,4-5 Miles or 40-50 Min.
Week 3,ff,Tempo,Cross-Train,3-5 Miles,ff,Flex Day,7-8 Miles or 70-80 Min.
Week 4,ff,Intervals,Cross-Train,5-7 Miles,ff,Flex Day,8-10 Miles or 100 Min.
Week 5,ff,Intervals,Cross-Train,4-6 Miles,ff,Flex Day,10-12 Miles or 120 Min.
Week 6,ff,Taper Intervals,ff,3 Miles,ff,Flex Day,13.1-Mile Race
