Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,Rest or Cross-Train,4 miles with 2 at Race Pace,Easy Walk,Rest,12-14 miles
Week 2,Rest or Cross-Train,5 miles with 3 at Race Pace,Easy Walk,Rest,4 Mile Repeats
Week 3,Rest or Cross-Train,4 miles with 2 at Race Pace,Easy Walk,Rest,14-17 miles
Week 4,Rest or Cross-Train,5 miles with 3 at Race Pace,Easy Walk,Rest,6 Mile Repeats
Week 5,Rest or Cross-Train,4 miles with 2 at Race Pace,Easy Walk,Rest,17-20 miles
Week 6,Rest or Cross-Train,5 miles with 3 at Race Pace,Easy Walk,Rest,5 miles with Magic Mile
Week 7,Rest or Cross-Train,4 miles with 2 at Race Pace,Easy Walk,Rest,8 Mile Repeats
Week 8,Rest or Cross-Train,5 miles with 3 at Race Pace,Easy Walk,Rest,20-23 miles
Week 9,Rest or Cross-Train,4 miles with 2 at Race Pace,Easy Walk,Rest,6 miles with 4 at Race Pace
Week 10,Rest or Cross-Train,5 miles with 3 at Race Pace,Easy Walk,Rest,10 Mile Repeats
Week 11,Rest or 4 Cross-Train with 2 a,Easy Walk,Rest,5 miles with Magic Mile
Week 12,Rest or 5 mi Cross-Train 3 at R,Easy Walk,Rest,23-26 miles
Week 13,Rest or 4 mi Cross-Train 2 at R,Easy Walk,Rest,6 miles with 4 at Race Pace
Week 14,Rest or 5 mi Cross-Train 3 at R,Easy Walk,Rest,12 Mile Repeats
Week 15,Rest or 4 mi Cross-Train 2 at R,Easy Walk,Rest,5 miles with Magic Mile
Week 16,Rest or 5 mi Cross-Train 3 at R,Easy Walk,Rest,26-29 miles
Week 17,Rest or 4 mi Cross-Train 2 at R,Easy Walk,Rest,6 miles with 4 at Race Pace
Week 18,Rest or 5 mi Cross-Train 3 at R,Easy Walk,Rest,14 Mile Repeats
Week 19,Rest or 4 mi Cross-Train 2 at R,Easy Walk,Rest,5 miles with Magic Mile
Week 20,Rest or 30- Cross-Train Ru,Easy Walk,Rest,RACED AY
