Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Week 1,ff,uality Day,Cross-Train,Easy Run,ff,Flex Day,Long Run
Week 2,ff,Fartlek,Cross-Train,3-4 Miles,ff,Flex Day,4-7 Miles
Week 3,ff,Intervals,Cross-Train,3-4 Miles,ff,Flex Day,4-7 Miles
