Week,Monday,Tuesday,Thursday,Friday
Week 1,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Strength,Rest
Week 2,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Strength,Rest
Week 3,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Strength,Rest
Week 4,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Strength,Rest
Week 5,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Strength,Rest
Week 6,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Strength,Rest
Week 7,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Strength,Rest
Week 8,30 min Run/Walk Strength,Easy Walk,30-45 min Run/Walk,Easy Walk,Rest
