Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,40-60 min 8x 100m soft surface strides 10-15 min cool down,14x 400m starting 10K pace and working down to 5K pace w/ 60 sec rest,30-50 min easy or Off,4x 1 mile HM pace w/ 90 sec rest,30-50 min recovery,40-60 min recovery or Off
Week 2,40-60 min 8x 100m soft surface strides 10-15 min cool down,5x 1000m 4x 200m starting HM and working down to 10K pace 200s 5K paces w/ 2 min rest,30-50 min easy or Off,12x 60 sec Hill 10K effort w/ jog down rest,30-50 min recovery,40-60 min recovery or Off
Week 3,40-60 min 8x 100m soft surface strides 10-15 min cool down,7x 800m starting HM pace w/ 90 sec rest,30-50 min easy or Off,The Michigan,30-50 min recovery,40-60 min recovery or Off
Week 4,40-60 min 8x 100m soft surface strides 10-15 min cool down,5x 1200m 4x 200m starting HM pace and working down to 10K pace 200s 5K paces w/ 90 sec rest,30-50 min easy or Off,10x 75 sec Hill 10K effort w/ jog down rest,30-50 min recovery,40-60 min recovery or Off
Week 5,40-60 min 8x 100m soft surface strides 10-15 min cool down,10x 600m starting 10K pace w/ 90 sec rest,30-50 min easy or Off,3x 2 mile HM pace w/ 2 min rest,30-50 min recovery,40-60 min recovery or Off
Week 6,40-60 min 8x 100m soft surface strides 10-15 min cool down,Deeks Quarters,30-50 min easy or Off,12x 60 sec Hill 10K effort w/ jog down rest,30-50 min recovery,40-60 min recovery or Off
Week 7,40-60 min 8x 100m soft surface strides 10-15 min cool down,14x 400m starting 10K pace and working down to mile pace w/ 60 sec rest,30-50 min easy or Off,2x 3 mile HM pace w/ 2 min rest,30-50 min recovery,40-60 min recovery or Off
Week 8,6-8 miles
Week 9,6-8 miles
Week 10,8-10 miles
Week 11,8-10 miles w/ miles 6-8 at goal race pace
Week 12,10-12 miles
Week 13,10-12 miles w/ miles 8-10 at goal race pace
Week 14,12-14 miles
Week 15,6-8 miles
Week 16,8-10 miles
Week 17,10-12 miles
Week 18,10-12 miles w/ miles 8-10 at goal race pace
Week 19,10-14 miles
Week 20,14-16 miles w/ miles 10-12 at goal race pace
Week 21,14-16 miles
Week 22,40-60 min 8x 100m soft surface strides 10-15 min cool down,7x 1000m starting HM pace and working down to 10K pace w/ 60 sec rest,30-50 min easy or Off,10x 75 sec Hill 10K effort w/ jog down rest,30-50 min recovery,40-60 min recovery or Off
Week 23,40-60 min 8x 100m soft surface strides 10-15 min cool down,6x 800 4x400m starting HM pace and working down to 10K pace 400s 5K paces w/ 90 sec rest,30-50 min easy or Off,Mona Fartlek,30-50 min recovery,40-60 min recovery or Off
Week 24,40-60 min 8x 100m soft surface strides 10-15 min cool down,20x 200m starting 10K pace and working down to mile pace w/ 60 sec rest,30-50 min easy or Off,5x 1 mile starting HM pace and working down to 10K pace w/ 90 sec rest,30-50 min recovery,40-60 min recovery or Off
Week 25,40-60 min 8x 100m soft surface strides 10-15 min cool down,5x 1200m 2x 400m starting HM pace and working down to 10K pace 400s 5K pace w/ 90 sec rest,30-50 min easy or Off,5 mile progression from Marathon to HM pace,30-50 min recovery,40-60 min recovery or Off
Week 26,40-60 min 10x 100m soft surface strides,Yasso 800s,30-50 min easy or Off,3x 2 mile at half marathon pace w/ 2 min rest,30-50 min recovery,40-60 min recovery or Off
Week 27,40-60 min 8x 100m soft surface strides 10-15 min cool down,6x 800 4x200m starting HM pace and working down to 5K pace 200s Mile pace w/ 90 sec rest,30-50 min easy or Off,4x 1.5 mile starting HM pace and working down to 10K pace w/ 2 min rest,30-50 min recovery or Off,40-60 min recovery or Off
Week 28,40-60 min,2x 1 mile marathon pace 2x 800m 5K pace 90 sec rest,30-50 min easy or Off,60 min run,30-50 min recovery or Off,3 mile shake out run
Week 29,12-14 miles,14-16 miles
Week 30,14-16 miles,17-19 miles
Week 31,10-12 miles w/ miles 8-10 at goal race pace,14-16 miles w/ miles 10-12 at goal race pace
Week 32,14-16 miles,20-22 miles
Week 33,10-12 miles w/ miles 7-9 at goal race pace,14-16 miles w/ miles 10-12 at goal race pace
Week 34,10 miles,10 miles
Week 35,RACE DAY,
