Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,STRENGTH,EASY,REST,EASY O PTIONA,L LONRGU N
Week 2,Strength or Cross-Train,40 min,Rest,30 min,4-5 miles
Week 3,Strength or Cross-Train,4-5 miles,Rest,30 min,5-6 miles
Week 4,Strength or Cross-Train,60 min,Rest,30 min,6-8 miles
Week 5,Strength or Cross-Train,5-6 miles,Rest,30 min,5-7 miles
Week 6,Strength or Cross-Train,60 min,Rest,30 min,8-9 miles
Week 7,Strength or Cross-Train,50 min,Rest,30 min,8-10 miles
Week 8,Strength or Cross-Train,60 min,Rest,30 min,6-8 miles
Week 9,Rest,30 min,Rest,Rest,25 min Shakeout Run
