Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,Rest,15 min Walk Foot Strength,Rest,10 min Walk,15 min Walk
Week 2,Rest,20 min Walk Foot Strength,Rest,15 min Walk,20 min Walk
Week 3,Full-Body .(eigh_,5x 0.1 mile Run 0.2 mile Walk Foot Strength,Full-Body .(Bodr-tteigh).,20 min Walk,6x 0.1 mile Run 0.2 mile Walk
Week 4,Full-Bodx _(Bodr-tteigh_,4x 0.2 mile Run 0.2 mile Walk Foot Strength,Full-Bodx 1B odr-tteigh)_,20 min Walk,4x 0.2 mile Run 0.2 mile Walk
Week 5,Full-Body _(eigh_,3x 0.3 mile Run 0.2 mile Walk Lower-Bodx,Full-Body _(Bodr-tteigh_,4x 0.1 mile Run 0.2 mile Walk,4x 0.3 mile Run 0.2 mile Walk
Week 6,Full-Bodx with Dumbbells,3x 0.4 mile Run 0.2 mile Walk Lower-Bodx,Full-Bodx with Dumbbells,2x 0.4 mile Run 0.2 mile Walk,2x 0.5 mile Run 0.2 mile Walk
Week 7,Full-Body with Dumbbells,2x 0.6 mile Run 0.1 mile Walk Lower-Bodx,Full-Bodx with Dumbbells,2x 0.5 mile Run 0.1 mile Walk,2x 0.6 mile Run 0.1 mile Walk
Week 8,Full-Bodx with Dumbbells,10 min Walk Lower-Bodx,0.5 mile Run 2 min Walk 0.5 mile Run Full-Bodx with Dumbbells,Rest,10 min Walk
