Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5-9 miles
Week 2,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,10 miles
Week 3,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 4,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,12 miles
Week 5,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles
Week 6,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,14 miles
Week 7,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 8,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,
