Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Week 1,ff,uality Day,ff,Cross-Train/ Easy Run,ff,Long Run,ff
Week 2,ff,3 Miles,ff,Cross-Train,ff,4 Miles,ff
Week 3,ff,Intervals,ff,4 Miles,ff,6 Miles,Cross-Train
Week 4,ff,Intervals,ff,4 Miles,ff,8 Miles or Race,ff
