Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Strength,Day Off,Day Off,Day Off
2,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Strength,Day Off,Day Off,Day Off
3,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Strength,Day Off,Day Off,Day Off
4,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Strength,Day Off,Day Off,Day Off
5,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Strength,Day Off,Day Off,Day Off
6,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Strength,Day Off,Day Off,Day Off
7,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Strength,Day Off,Day Off,Day Off
8,30 minutes Run and Walk + Strength,Easy Walk,Day Off,Easy Walk,Day Off,Day Off,Day Off
