Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,3.2 km Easy Run,6.4 km Easy Run,Day Off,Day Off,Day Off
1,Day Off,Day Off,3.2 km Easy Run,6.4 km Easy Run,Day Off,Day Off,Day Off
1,Day Off,Day Off,4.8 km Easy Run,6.4 km with 3.2 km at Tempo,Day Off,Day Off,Day Off
1,Day Off,Day Off,4.8 km Easy Run,6.4 km with 3.2 km at Tempo,Day Off,Day Off,Day Off
1,Day Off,Day Off,4.8 km Easy Run,8 km with 4.8 km at Tempo,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,8 km with 4.8 km at Tempo,Day Off,Day Off,Day Off
1,Day Off,Day Off,4.8 km Easy Run,6.4 km with 3.2 km at Tempo,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,4.8 km with 1.6 km at Tempo,Day Off,Day Off,Day Off
