Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,5.6 km Hills,Cross-Trai,5.6 km n Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4 km Hills,Cross-Trai,6.4 km n Fartlek,Day Off,Day Off
1,Day Off,Day Off,6.4 km Hills,Cross-Trai,6.4 km n Fartlek,Day Off,Day Off
1,Day Off,Day Off,7.2 km Hills,Cross-Trai,6.8 km n Track,Day Off,Day Off
1,Day Off,Day Off,8 km Hills,Cross-Trai,7.6 km n Track,Day Off,Day Off
1,Day Off,Day Off,8 km Hills,Cross-Trai,6.4 km n Track,Day Off,Day Off
1,Day Off,Day Off,8 km Easy Run,Cross-Trai,7.6 km n Track,Day Off,Day Off
1,Day Off,Day Off,6.4 km Fartlek,Day Off,4.8 km Easy Run,Day Off,Day Off
