Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,3.2 km Easy Run,Day Off,3.2 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,4 km Easy Run,Day Off,4 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,4 km Hills,Day Off,4 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,4 km Hills,Day Off,4.8 km Fartlek,Day Off,Day Off
1,Day Off,Day Off,4.8 km Hills,Day Off,4.8 km Fartlek,Day Off,Day Off
1,Day Off,Day Off,4.8 km Hills,Day Off,4.8 km Fartlek,Day Off,Day Off
1,Day Off,Day Off,4.8 km Hills,Day Off,4.8 km Fartlek,Day Off,Day Off
1,Day Off,Day Off,4.8 km Fartlek,Day Off,3.2 km Easy Run,Day Off,Day Off
