Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Quality Day,Day Off,Easy Run,Day Off,Flex Day,Long Run
2,Day Off,Tempo,Day Off,4.8-8 km,Day Off,Flex Day,8-12.9 km
3,Day Off,Fartlek,Day Off,4.8-8 km,Day Off,Flex Day,8-12.9 km
4,Day Off,Hills,Day Off,4.8-8 km,Day Off,Flex Day,8-12.9 km
5,Day Off,Intervals,Day Off,4.8-8 km,Day Off,Flex Day,8-12.9 km
