Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Quality Day,Day Off,Easy Run,Day Off,Day Off,Long Run
2,Day Off,Tempo,Day Off,4.8 km,Day Off,Day Off,4.8-9.7 km
3,Day Off,Fartlek,Day Off,4.8 km,Day Off,Day Off,4.8-9.7 km
4,Day Off,Hills,Day Off,4.8 km,Day Off,Day Off,4.8-9.7 km
5,Day Off,Intervals,Day Off,4.8 km,Day Off,Day Off,4.8-9.7 km
