Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,6.4-9.7 km Easy Run,9.7-11.3 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,11.3 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,12.9 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,11.3-12.9 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,12.9-14.5 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,12.9-14.5 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,14.5 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,11.3 km with Intervals,0-4.8 km Easy Run,Day Off,Day Off
