Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Quality Day,Day Off,Easy Run,Day Off,Long Run,Day Off
2,Day Off,3.2 km,Day Off,Day Off,Day Off,4.8 km,Day Off
3,Day Off,4.8 km,Day Off,4.8 km,Day Off,6.4 km,Day Off
4,Day Off,Tempo,Day Off,6.4 km,Day Off,8 km,Day Off
5,Day Off,Intervals,Day Off,6.4 km,Day Off,9.7 km,Day Off
6,Day Off,Hills,Day Off,8 km,Day Off,11.3 km,Day Off
7,Day Off,Intervals,Day Off,6.4 km,Day Off,12.9 km or Race,Day Off
