Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,6.4 km Easy Run,9.7 km with 4.8 km at Tempo,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,9.7 km with 6.4 km at Tempo,4.8-6.4 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,11.3 km Easy Run,11.3 km with Intervals,8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,9.7 km Easy Run,11.3 km with Intervals,6.4 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,12.9 km Easy Run,Mile Repeats,9.7 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,12.9 km Easy Run,Mile Repeats,9.7 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,9.7 km Easy Run,Half-Mile Repeats,6.4 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,4.8-8 km Easy Run,8 km with Intervals,4.8 km Easy Run,Day Off,Day Off
