Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,0-6.4 km Easy Run,6.4 km Easy Run with Aerobic Intervals,Day Off,6.4 km Easy Run with Gentle Pickups,Day Off
1,Day Off,Day Off,3.2 km Easy Run,6.4 km Easy Run with Gentle Pickups,0-4.8 km Easy,5.6 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,6.4 km Easy Run with Aerobic Intervals,0-4.8 km Easy Run,6.4 km Easy Run with Gentle Pickups,Day Off
1,Day Off,Day Off,6.4 km Easy Run,6.4 km Easy Run with Aerobic Intervals,0-4.8 km Easy Run,7.2 km Easy Run with Gentle Pickups,Day Off
1,Day Off,Day Off,6.4 km Easy Run,6.4 km Easy Run with Aerobic Intervals,0-4.8 km Easy Run,7.2 km Easy Run with Gentle Pickups,Day Off
1,Day Off,Day Off,3.2 km Easy Run,6.4 km Easy Run with Aerobic Intervals,3.2 km Easy Run,Day Off,Day Off
