Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,9.7 km Hills,4.8 km Easy Run,9.7 km Fartlek,Day Off,Day Off
1,Day Off,Day Off,9.7 km Hills,6.4 km Easy Run,6.8 km Track,Day Off,Day Off
1,Day Off,Day Off,9.7 km Hills,6.4 km Easy Run,8 km Track,Day Off,Day Off
1,Day Off,Day Off,11.3 km Mile Repeats,6.4 km Easy Run,8.9 km Track,Day Off,Day Off
1,Day Off,Day Off,11.3 km Hills,6.4 km Easy Run,9.7 km Track,Day Off,Day Off
1,Day Off,Day Off,40.2 km Mile Repeats,8 km Easy Run,8.9 km Track,Day Off,Day Off
1,Day Off,Day Off,11.3 km Hills,6.4 km Easy Run,8 km Track,Day Off,Day Off
1,Day Off,Day Off,9.3 km Track,Day Off,6.4 km Easy Run,Day Off,Day Off
