Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,6.4-9.7 km Easy Run,..-eedI ntervals with Strides,6.4 km Easy Run,6.4-9.7 km Easy Run with Strides,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,..-eedI ntervals with Strides,6.4-9.7 km Easy Run,8-11.3 km Easy Run with Strides,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,6.4-9.7 km Easy Run,6.4-9.7 km Easy Run,8-11.3 km Easy Run,Day Off
1,Day Off,Day Off,6.4-9.7 km Easy Run,..-eedI ntervals with Strides,6.4-9.7 km Easy Run,8-11.3 km Easy Run with Strides,Day Off
1,Day Off,Day Off,4.8-6.4 km Easy Run,Race Pace and ..-eedI ntervals with Strides,6.4-9.7 km Easy Run,8-11.3 km Easy Run with Strides,Day Off
1,Day Off,Day Off,4.8 km Easy Run,..-eedI ntervals with Strides,6.4-8 km Easy Run with Strides,Day Off,Day Off
