Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,4.8 km with 1.6 km Race Rehearsal + Strength,Day Off,Day Off,Strength,Day Off,Day Off,Day Off
2,6.4 km with 3.2 km Race Rehearsal + Strength,Day Off,Day Off,Strength,Day Off,Day Off,Day Off
3,8 km with 4.8 km Race Rehearsal + Strength,Day Off,Day Off,Strength,Day Off,Day Off,Day Off
4,8 km with 4.8 km Race Rehearsal + Strength,Day Off,Day Off,Strength,Day Off,Day Off,Day Off
5,8 km with 4.8 km Race Rehearsal + Strength,Day Off,Day Off,Strength,Day Off,Day Off,Day Off
6,8 km with 4.8 km Race Rehearsal + Strength,Day Off,Day Off,Strength,Day Off,Day Off,Day Off
7,6.4 km with 3.2 km Race Rehearsal + Strength,Day Off,Day Off,Strength,Day Off,Day Off,Day Off
8,4.8 km with 1.6 km Race Rehearsal,Day Off,Day Off,Easy Walk,Day Off,Day Off,Day Off
