Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,4.8 km Easy Run,8 km Hills,Day Off,Day Off,Day Off
1,Day Off,Day Off,4.8 km Easy Run,9.7 km Hills,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,9.7 km Hills,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,9.7 km Hills,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,11.3 km Hills,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,11.3 km Hills,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,14.5 km Hills,Day Off,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,12.9 km with Hill Repeats,Day Off,Day Off,Day Off
