Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,STRENGTH,EASY,Day Off,easy optional,long run,Day Off
2,Day Off,Strength,40 minutes,Day Off,30 minutes,6.4-8 km,Day Off
3,Day Off,Strength,6.4-8 km,Day Off,30 minutes,8-9.7 km,Day Off
4,Day Off,Strength,60 minutes,Day Off,30 minutes,9.7-12.9 km,Day Off
5,Day Off,Strength,8-9.7 km,Day Off,30 minutes,8-11.3 km,Day Off
6,Day Off,Strength,60 minutes,Day Off,30 minutes,12.9-14.5 km,Day Off
7,Day Off,Strength,50 minutes,Day Off,30 minutes,12.9-16.1 km,Day Off
8,Day Off,Strength,60 minutes,Day Off,30 minutes,9.7-12.9 km,Day Off
9,Day Off,Day Off,30 minutes,Day Off,Day Off,25 minutes Shakeout Run,Day Off
