Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,4.8 km Easy Run,8 km with 4.8 km at Tempo,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,4.8 km Easy Run,8 km with 4.8 km at Tempo,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,9.7 km with Intervals,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,9.7 km with Intervals,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-8 km Easy Run,Mile Repeats 8 km,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-8 km Easy Run,9.7 km with Intervals,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4-8 km Easy Run,Mile Repeats 9.7 km,4.8 km Easy Run,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,6.4-8 km with Intervals,4.8 km Easy Run,Day Off,Day Off
